題目,答案,選項A,選項B,選項C,答對回饋,答錯回饋,提示
"在《少年悍將 GO！》中，羅賓（Robin）最愛吃的食物是什麼？",B,"披薩","鬆餅","漢堡","恭喜你，答對了！羅賓超愛鬆餅！","錯了！去問問鋼骨他對鬆餅的看法。","這是美國的經典派對零食，他常為此瘋狂。"
"哪一個成員在某一集裡因為沉迷於「三明治」而差點錯過了拯救世界的機會？",C,"羅賓","酷姬","鋼骨","Bingo！就是他，沒有三明治會讓他崩潰。","不對喔！這個愛吃三明治的英雄口頭禪是 Booyah。","她的口頭禪是 ""Booyah!""。"
"酷姬（Raven）的父親是誰？",B,"喪鐘","三宮","史萊德","正確！那個紅色的惡魔就是三宮。","不是他！他是想統治世界的次元惡魔。","他是來自異次元的強大惡魔，會在每年的某一天試圖佔領地球。"
"在《膽小狗英雄》中，英雄（Courage）一家住在什麼地方？",A,"奧茨鎮","比奇堡","春田市","沒錯！這個小鎮叫做奧茨鎮，充滿了怪事。","不對！那個荒涼又詭異的小鎮有特殊的名字。","這是一個虛構的小鎮，以荒涼和怪事多聞名。"
"英雄的主人，一位心地善良的老奶奶叫什麼名字？",B,"瑪莎","茉莉兒","蘇珊","完美！茉莉兒奶奶心地最好了。","錯了！那位好心的老奶奶名字是以 M 開頭。","她總是對英雄很溫柔，但她先生總是對英雄很壞。"
"經常對英雄說「笨蛋」（Stupid dog!）的脾氣暴躁老爺爺叫什麼名字？",A," 奧提斯","荷馬","史丹","你說對了，就是脾氣暴躁的奧提斯。","錯了！那個吝嗇的老頭名字是以 E 開頭。","他是一個非常吝嗇、愛錢又愛欺負英雄的人。"
"彼得·格里芬（Peter Griffin）在哪個虛構的羅德島小鎮生活？",B,"春田市","夸霍格","南方公園","正確答案！Quahog就是彼得的家。","猜錯了！這個羅德島小鎮的名字跟一種貝類有關。","這個名字聽起來像是個美麗的海灣。"
"格里芬家的嬰兒叫什麼名字？他擁有天才般的智商並經常密謀殺死他的母親。",C,"克里斯","布萊恩","史都伊·格里芬","厲害！就是擁有邪惡天才的史都伊。","錯了！他是格里芬家中最小的成員，而且會說話。","他還有一個英國口音，最好的朋友是那隻會說話的狗。"

"彼得最好的三個朋友分別是誰？",C,"斯坦、凱爾、卡特曼","荷馬、藍尼、卡爾","克利夫蘭、喬、夸麥爾","完全正確！他們是酒吧裡的鐵三角。","錯了！這三個人常常和彼得在醉漢酒吧鬼混。","一位是飛行員、一位是郵差、一位是鄰居身障人士（後來改為身障者）。"
